location,filename,url
quebec,Gars1980-2024.csv,https://www.donneesquebec.ca/recherche/dataset/93d640ec-d059-4768-b7ed-388604b278aa/resource/039539f5-af55-4d8f-9010-ca718e45c2a5/download/g_1980-2024_masque.csv
quebec,Filles1980-2024.csv,https://www.donneesquebec.ca/recherche/dataset/13db2583-427a-4e5f-b679-8532d3df571f/resource/bf77b504-54b9-4db8-be53-b92156175c12/download/f_1980-2024_masquee.csv
united_states,,https://www.ssa.gov/oact/babynames/names.zip
